# a_arcsec a_arcsec_err gamma gamma_err rc_arcsec rc_arcsec_err rc_pc rc_pc_err rm_arcsec log_mass log_mass_err_lo log_mass_err_hi
14.89 0.79 3.31 0.12 10.73 0.36 2.61 0.09 76.0 5.25 0.09 0.09
15.82 1.26 2.21 0.12 14.75 0.7 3.58 0.17 76.0 4.7 0.11 0.1
10.93 0.83 2.78 0.13 8.78 0.44 2.13 0.11 72.0 4.1 0.12 0.11
9.38 0.76 2.31 0.1 8.52 0.49 2.07 0.12 76.0 4.78 0.13 0.13
4.12 0.65 2.43 0.09 3.61 0.49 0.88 0.12 76.0 5.25 0.28 0.26
16.62 0.89 2.6 0.1 13.96 0.44 3.39 0.11 76.0 4.53 0.08 0.07
6.79 0.67 2.78 0.13 5.45 0.38 1.33 0.09 76.0 5.5 0.17 0.16
6.84 0.42 2.81 0.1 5.47 0.23 1.33 0.06 69.0 3.45 0.11 0.1
12.5 0.78 2.76 0.12 10.1 0.39 2.45 0.09 76.0 4.01 0.1 0.1
25.81 1.59 3.41 0.19 18.28 0.59 4.44 0.14 76.0 4.71 0.1 0.09
6.35 0.46 3.11 0.1 4.76 0.26 1.16 0.06 76.0 5.79 0.12 0.12
53.62 5.07 4.55 0.61 32.0 0.72 7.77 0.17 78.0 5.0 0.14 0.12
8.58 0.44 2.05 0.13 8.44 0.34 2.05 0.08 42.0 3.86 0.1 0.09
11.11 1.03 2.18 0.11 10.48 0.64 2.55 0.16 69.0 4.87 0.14 0.13
6.81 0.46 2.01 0.05 6.8 0.36 1.65 0.09 76.0 4.89 0.11 0.1
9.74 0.53 2.25 0.13 9.0 0.5 2.19 0.12 76.0 3.9 0.13 0.12
18.6 0.72 3.04 0.09 14.15 0.32 3.44 0.08 76.0 4.52 0.06 0.06
8.83 0.41 3.07 0.1 6.67 0.19 1.62 0.05 76.0 4.49 0.09 0.09
8.79 0.91 2.14 0.14 8.4 0.55 2.04 0.13 76.0 5.29 0.16 0.15
4.08 0.28 2.7 0.08 3.35 0.18 0.81 0.04 76.0 5.73 0.13 0.12
4.44 0.41 2.27 0.11 4.07 0.28 0.99 0.07 76.0 3.1 0.17 0.16
7.56 0.86 2.53 0.12 6.47 0.53 1.57 0.13 76.0 4.27 0.17 0.16
4.33 0.54 2.6 0.14 3.63 0.33 0.88 0.08 69.0 5.4 0.22 0.21
5.17 0.6 2.22 0.09 4.81 0.51 1.17 0.12 76.0 3.12 0.2 0.19
4.21 0.37 2.52 0.09 3.61 0.24 0.88 0.06 76.0 5.57 0.15 0.15
11.13 0.98 2.09 0.11 10.81 0.61 2.63 0.15 76.0 4.33 0.13 0.12
5.73 0.75 2.44 0.14 5.02 0.5 1.22 0.12 76.0 4.31 0.23 0.22
33.83 3.83 2.25 0.28 31.22 1.14 7.59 0.28 76.0 4.99 0.13 0.11
12.33 1.06 3.79 0.23 8.19 0.43 1.99 0.1 69.0 4.42 0.16 0.16
4.71 0.79 2.64 0.22 3.91 0.44 0.95 0.11 69.0 3.88 0.28 0.26
20.3 2.2 2.85 0.25 16.06 0.98 3.9 0.24 76.0 4.73 0.16 0.15
8.15 0.51 2.79 0.09 6.53 0.31 1.59 0.08 76.0 3.55 0.11 0.1
13.76 0.91 3.45 0.18 9.68 0.36 2.35 0.09 76.0 4.27 0.11 0.11
12.73 0.94 3.0 0.15 9.77 0.47 2.37 0.11 69.0 3.56 0.12 0.12
12.97 1.4 2.91 0.23 10.13 0.66 2.46 0.16 76.0 4.3 0.18 0.17
10.16 0.43 2.96 0.07 7.85 0.24 1.91 0.06 72.0 4.04 0.07 0.07
13.77 0.97 2.94 0.14 10.68 0.49 2.6 0.12 76.0 3.43 0.13 0.12
13.13 1.35 2.37 0.16 11.7 0.74 2.84 0.18 76.0 4.75 0.15 0.14
7.65 0.71 2.5 0.11 6.59 0.43 1.6 0.1 72.0 4.25 0.14 0.14
22.97 2.39 2.08 0.16 22.34 1.34 5.43 0.33 76.0 4.01 0.13 0.11
11.75 0.56 3.51 0.12 8.18 0.24 1.99 0.06 76.0 5.45 0.09 0.08
9.36 0.69 2.84 0.13 7.43 0.36 1.8 0.09 76.0 4.48 0.12 0.11
9.55 0.99 2.26 0.14 8.79 0.59 2.14 0.14 76.0 4.13 0.17 0.16
11.42 2.79 2.07 0.26 11.14 1.55 2.71 0.38 76.0 4.28 0.35 0.29
12.13 0.83 3.4 0.17 8.61 0.35 2.09 0.09 76.0 4.31 0.12 0.12
38.61 2.71 3.54 0.27 26.75 0.73 6.5 0.18 76.0 5.26 0.1 0.09
28.83 2.24 2.13 0.15 27.6 1.27 6.71 0.31 76.0 4.33 0.1 0.09
14.55 1.75 3.37 0.29 10.37 0.76 2.52 0.18 69.0 4.02 0.21 0.2
23.1 2.91 2.12 0.23 22.18 1.35 5.39 0.33 76.0 3.72 0.15 0.13
15.84 1.65 2.13 0.15 15.2 1.08 3.69 0.26 76.0 4.67 0.14 0.13
13.66 1.17 2.38 0.12 12.14 0.66 2.95 0.16 76.0 5.31 0.12 0.11
8.38 0.93 2.41 0.16 7.39 0.56 1.8 0.14 76.0 4.1 0.19 0.18
1.48 0.12 2.43 0.09 1.3 0.08 0.32 0.02 10.0 4.31 0.13 0.13
12.97 0.67 3.17 0.08 9.61 0.35 2.81 0.1 76.0 5.5 0.08 0.08
20.24 3.37 2.07 0.26 19.74 1.45 5.77 0.42 76.0 4.49 0.21 0.18
10.21 1.01 2.64 0.14 8.49 0.64 2.48 0.19 64.0 3.63 0.15 0.14
10.58 0.82 2.58 0.14 8.93 0.4 2.61 0.12 72.0 4.41 0.13 0.12
45.73 6.05 5.21 0.99 25.26 1.03 7.38 0.3 72.0 4.96 0.22 0.19
18.49 1.73 2.05 0.13 18.17 0.97 5.31 0.28 76.0 5.13 0.12 0.11
11.93 0.7 2.72 0.11 9.72 0.36 2.84 0.11 76.0 4.6 0.1 0.1
14.42 1.19 3.7 0.32 9.73 0.35 2.84 0.1 72.0 5.24 0.15 0.15
15.03 2.13 3.22 0.34 11.02 0.82 3.22 0.24 69.0 4.36 0.23 0.21
26.97 1.47 3.0 0.14 20.67 0.62 6.04 0.18 76.0 5.17 0.08 0.07
