# Table 1 from Calzetti et al 2015, AJ, 149, 51 - https://ui.adsabs.harvard.edu/abs/2015AJ....149...51C/abstract
# Table downloaded from https://iopscience.iop.org/article/10.1088/0004-6256/149/2/51#aj504840t1 and cleaned up to be machine readable
# Read in astropy with astropy.table.Table.read("calzetti_etal_15_table_1.txt", format="ascii.commented_header", header_start=3)
# name recession_velocity_kms morphology morphology_t_type morphology_t_type_err inclination distance_mpc distance_method sfr_uv_msun_per_year m_star m_HI
NGC1291    839 SBa 0.1 0.4    34.3    10.4    TF   0.63    1.5E11  2.3E09  
NGC1433    1076    SBab    1.5 0.7    24.8    8.3 TF     0.27    1.7E10  5.0E08  
NGC1510    913 SA0   -1.6 1.7 0.0 11.7    TF     0.12    4.8E08  6.5E07    
NGC1512    896 SBab    1.1 0.5    51.0    11.6    TF    1.00    1.7E10  8.5E09   
ESO486-G021 835 S?  2.0 1.7    48.2    9.5 v_flow    0.05    7.2E08  2.8E08   
NGC3368    897 SABab   1.9 0.6    46.8    10.50   Ceph       1.10    4.8E10  2.7E09  
NGC4594    1024    SAa 1.1 0.3    66.3    9.1 SBF    0.48    1.5E11  2.8E08   
NGC1566    1504    SABbc   4.0 0.2    37.3    13.2    TF     5.67    2.7E10  5.7E09  
NGC3351    778 SBb 3.1 0.4    21.3    10.00   Ceph       1.57    2.1E10  1.3E09    
NGC3627    727 SABb    3.1 0.4    62.5    10.10   Ceph       4.89    3.1E10  1.5E09  
NGC4248    484 S?  3.3 2.9    71.2    7.8 TF     0.02    9.8E08  6.1E07  
NGC4258    448 SABbc   4.0 0.2    67.2    7.98    Ceph       2.51    2.9E10  7.3E09  
IC4247 274 S?  2.2 3.5    67.4    5.11    TRGB       0.008   1.2E08  nan    
NGC5195    465 SBa 2.2 4.5    37.5    7.66    SBF    0.35    2.3E10  1.7E09   
UGC695    628 Sc  6.0 2.0    35.1    10.9    v_flow    0.02    1.8E08  1.1E08
NGC628    657 SAc 5.2 0.5    25.2    9.9 SNII    3.67    1.1E10  1.1E10
IC559 514 Sc  5.0 3.0    41.4    5.3 v_flow    0.005   1.4E08  3.7E07
NGC3344    580 SABbc   4.0 0.3    23.7    7.0 v_flow    0.86    5.0E09  2.3E09 
NGC4605    136 SBc 5.1 0.7    67.7    5.70    TRGB      0.43    1.5E09  3.7E08  
NGC5194    463 SAbc    4.0 0.3    51.9    7.66    SBF    6.88    2.4E10  2.3E09   
NGC5457    241 SABcd   6.0 0.3    20.9    6.70    Ceph       6.72    1.9E10  1.9E10  
NGC5949    430 SAbc    4.1 0.3    65.5    14.3    TF    0.38    1.8E09  2.8E08  
NGC6503    25  SAcd    5.8 0.5    70.2    5.27    TRGB       0.32    1.9E09  1.3E09  
NGC6744    841 SABbc   4.0 0.2    44.1    7.1 TF    6.48    2.2E10  1.2E10  
NGC45    467 SAdm    7.8 0.7    46.0    6.61    TRGB       0.35    3.3E09  2.5E09
NGC1313    470 SBd 7.0 0.4    40.7    4.39    TRGB      1.15    2.6E09  2.1E09  
NGC2500    504 SBd 7.0 0.3    26.3    10.1    TF    0.46    1.9E09  8.2E08  
NGC3274    537 SABd    6.6 0.6    61.6    6.55    BS    0.07    1.1E08  5.5E08  
UGC7242    68  Scd 6.4 1.3    65.1    5.42    TRGB       0.007   7.8E07  5.0E07     
NGC4242    506 SABdm   7.9 0.5    40.5    5.8 TF   0.10    1.1E09  3.5E08  
NGC4490    565 SBd 7.0 0.2    60.5    7.2 TF   1.99    1.9E09  2.7E09  
NGC5238    235 SABdm   8.0 0.5    53.9    4.51    TRGB      0.01    1.4E08  2.9E07  
NGC5474    273 SAcd    6.1 0.5    26.4    6.8 BS     0.27    8.1E08  1.3E09  
NGC7793    230 SAd 7.4 0.6    47.4    3.44    Ceph      0.52    3.2E09  7.8E08  
UGC685    157 SAm 9.2 0.8    41.4    4.83    TRGB      0.007   9.5E07  9.7E07
UGC1249    345 SBm 8.9 0.6    63.3    6.9 TF     0.15    5.5E08  9.9E08  
UGC7408    462 IAm 9.3 2.8    62.5    6.7 TF     0.01    4.7E07  8.6E07    
NGC4395    319 SAm 8.9 0.4    33.6    4.30    Ceph      0.34    6.0E08  1.8E09  
NGC4485    493 IBm 9.5 1.3    45.9    7.6 v_flow    0.25    3.7E08  4.0E08  
NGC4656    646 SBm 9.0 0.7    0.  5.5 TF    0.50    4.0E08  2.2E09  
NGC5477    304 SAm 8.8 0.5    40.1    6.4 TF     0.03    4.0E07  1.3E08  
NGC1705    633 SA0/BCG nan nan  42.5    5.1 TRGB      0.11    1.3E08  9.4E07  
UGC4305    142 Im  9.9 0.5    37.1    3.05    Ceph     0.12    2.3E08  7.3E08  
UGC4459    20  Im  9.9 0.5    29.9    3.66    TRGB      0.007   6.8E06  6.8E07  
UGC5139    139 IABm    9.9 0.3    33.6    3.98    TRGB     0.02    2.5E07  2.1E08  
UGC5340    503 Im  9.7 1.0    68.3    5.9 TF    0.02    1.0E07  2.4E08  
NGC3738    229 Im  9.8 0.7    40.5    4.90    TRGB     0.07    2.4E08  1.5E08  
UGCA281    281 Sm  10.0 2.0   41.1    5.90    TRGB      0.02    1.9E07  8.3E07    
NGC4449    207 IBm 9.8 0.5    44.8    4.31    TRGB       0.94    1.1E09  2.1E09    
NGC5253    407 Im  nan nan  67.7    3.15    Ceph      0.10    2.2E08  1.0E08   
