# galaxy SFR_tot SFR log_M T_type RA Dec
IC1954 0.36 0.34 9.6 3.3 52.88079166666666 -51.90483333333333
IC5332 0.41 0.11 9.5 6.8 353.61454166666664 -36.101083333333335
NGC628c 1.75 0.93 10.2 5.2 24.17395833333333 15.783666666666667
NGC628e 1.75 0.93 10.2 5.2 24.17395833333333 15.783666666666667
NGC685 0.42 0.37 9.9 5.4 26.928374999999996 -52.761805555555554
NGC1087 1.31 1.25 9.9 5.2 41.604833333333325 -0.4986388888888889
NGC1097 4.74 3.85 10.7 3.3 41.57937499999999 -30.27488888888889
NGC1300 1.17 1.02 10.6 4.0 49.92116666666666 -19.41136111111111
NGC1317 0.48 0.37 10.6 0.8 50.68454166666666 -37.10369444444444
NGC1365 16.9 12.88 10.8 3.2 53.40154166666665 -36.140388888888886
NGC1385 2.09 1.96 9.9 5.9 54.37020833333332 -24.500305555555556
NGC1433 1.13 0.56 10.4 1.5 55.50645833333333 -47.22208333333334
NGC1512 1.28 0.59 10.6 1.2 60.97616666666666 -43.34886111111111
NGC1559 3.76 3.76 10.2 5.9 64.39904166666666 -62.78366666666666
NGC1566 4.54 3.21 10.7 4.0 65.00174999999999 -54.93780555555555
NGC1672 7.6 6.6 10.6 3.3 71.42708333333331 -59.247194444444446
NGC1792 3.7 3.23 10.5 4.0 76.31020833333332 -37.98075
NGC2775 0.87 0.7 11.1 1.6 137.5838333333333 7.037944444444444
NGC2835 1.24 0.57 9.8 5.0 139.4704583333333 -22.354666666666667
NGC2903 3.08 2.39 10.6 4.0 143.042125 21.500833333333333
NGC3351 1.32 0.87 10.3 3.1 160.99041666666665 11.703805555555554
NGC3621 0.99 0.78 10.0 6.9 169.56879166666667 -32.814055555555555
NGC3627 3.84 3.31 10.7 3.1 170.06233333333333 12.991527777777778
NGC4254 3.07 2.77 10.3 5.2 184.70666666666665 14.416500000000001
NGC4298 0.46 0.43 9.9 5.1 185.38649999999998 14.606166666666667
NGC4303 5.33 4.25 10.6 4.0 185.47874999999996 4.473638888888889
NGC4321 3.56 2.43 10.7 4.0 185.72845833333332 15.821805555555555
NGC4535 2.16 1.23 10.5 5.0 188.584625 8.197750000000001
NGC4536 3.45 3.12 10.2 4.3 188.6127083333333 2.1881388888888886
NGC4548 0.52 0.34 10.7 3.1 188.86020833333333 14.496333333333332
NGC4569 1.32 1.22 10.8 2.4 189.2074583333333 13.162944444444445
NGC4571 0.29 0.26 10.0 6.4 189.23491666666663 14.217361111111112
NGC4654 3.79 3.06 10.5 5.9 190.98574999999997 13.126666666666667
NGC4689 0.4 0.4 10.1 4.7 191.93983333333333 13.762805555555556
NGC4826 0.2 0.17 10.2 2.2 194.18183333333332 21.682972222222222
NGC5068 0.28 0.2 9.4 6.0 199.72837499999997 -21.03911111111111
NGC5248 2.29 1.66 10.3 4.0 204.38341666666665 8.885166666666667
NGC6744 2.41 0.71 10.7 4.0 287.4420833333333 -63.857527777777776
NGC7496 2.26 2.0 9.8 3.2 347.4470416666666 -43.42794444444444
